,coef,nulls,distinct_count,mean,mean_rej,mean_app,std_dev,top10Values,dtype,i
secondary_focus_subject_Economics,0.07802616710976772,0,2,0.003338496875166925,0.003472036750173602,0.0032049570001602477,0.05768396816248559,"0    37317
1      125
dtype: int64",float64,129
school_state_ID,0.07627992029363026,0,2,0.003872656375193633,0.003952780300197639,0.003792532450189627,0.06211088423781118,"0    37297
1      145
dtype: int64",float64,43
urls,-0.07555494959347442,0,2,0.010068906575503446,0.011110517600555526,0.009027295550451364,0.09983881968132989,"0    37065
1      377
dtype: int64",float64,6
teacher_ny_teaching_fellow,-0.0738155587655026,0,2,0.011804924950590247,0.010896853800544842,0.01271299610063565,0.1080087046007857,"0    37000
1      442
dtype: int64",float64,14
school_state_RI,0.06455359169988471,0,2,0.0030447091501522353,0.0030981251001549063,0.002991293200149565,0.055095553077672804,"0    37328
1      114
dtype: int64",float64,69
primary_focus_subject_Early Development,0.06449248809418662,0,2,0.02182041557609102,0.02131296405106565,0.022327867101116394,0.1460987854776165,"0    36625
1      817
dtype: int64",float64,94
primary_focus_subject_Civics & Government,0.05765141250287431,0,2,0.004139736125206987,0.004166444100208323,0.004113028150205651,0.06420832359768261,"0    37287
1      155
dtype: int64",float64,90
school_state_UT,-0.05566941035704315,0,2,0.014181934725709097,0.013727899150686396,0.014635970300731799,0.11824204354701326,"0    36911
1      531
dtype: int64",float64,74
secondary_focus_area_Applied Learning,-0.051892762518989076,0,2,0.09943379092997169,0.10143688905507184,0.09743069280487153,0.29924756277452413,"0    33719
1     3723
dtype: int64",float64,149
secondary_focus_subject_Parent Involvement,-0.051886740803516795,0,2,0.006142834250307142,0.006570161850328508,0.005715506650285775,0.07813618173989066,"0    37212
1      230
dtype: int64",float64,143
school_state_MD,0.05080725339339055,0,2,0.01717322792585866,0.01880241440094012,0.015544041450777202,0.1299182780286811,"0    36799
1      643
dtype: int64",float64,50
school_state_WY,0.04277391092131695,0,2,0.0007478233000373912,0.0011217349500560869,0.0003739116500186956,0.027336496095736285,"0    37414
1       28
dtype: int64",float64,80
school_state_VT,-0.04276738952530476,0,2,0.0008012392500400619,0.0006409914000320495,0.0009614871000480743,0.02829520539962751,"0    37412
1       30
dtype: int64",float64,76
school_state_NV,0.040749249007115296,0,2,0.01404839485070242,0.01346081940067304,0.014635970300731799,0.1176920022595573,"0    36916
1      526
dtype: int64",float64,63
school_kipp,-0.038530726957011305,0,2,0.006650285775332514,0.006783825650339192,0.006516745900325837,0.08127875438035796,"0    37193
1      249
dtype: int64",float64,11
school_state_NH,0.03681769505584083,0,2,0.0024037177501201857,0.002563965600128198,0.0022434699001121737,0.04896941838461167,"0    37352
1       90
dtype: int64",float64,60
resource_type_Technology,-0.03642756245638224,0,2,0.3193739650659687,0.29806100101490307,0.34068692911703435,0.4662403256741297,"0    25484
1    11958
dtype: int64",float64,159
secondary_focus_subject_History & Geography,0.03511039436731212,0,2,0.02438438117621922,0.024517921051225897,0.024250841301212543,0.15424142933977011,"0    36529
1      913
dtype: int64",float64,136
school_state_DE,0.030003605900092902,0,2,0.00267079750013354,0.0025105496501255276,0.0028310453501415524,0.051611389090272825,"0    37342
1      100
dtype: int64",float64,38
